run	success	duration	cost	GU__RIVABS_k	KI__RIVEX_k	message	x	x0
1	True	1.6789908409118652	139.8109093691504	0.0018348608639369634	0.4692364704354564	`ftol` termination condition is satisfied.	[0.00183486 0.46923647]	[3.53696465 0.32189166]
3	True	1.6061642169952393	139.81102636852785	0.0018346207519800274	0.4691998832320526	`xtol` termination condition is satisfied.	[0.00183462 0.46919988]	[0.00957774 0.41438275]
8	True	1.5494356155395508	139.8112465224033	0.0018329876528381626	0.4689616018288461	`xtol` termination condition is satisfied.	[0.00183299 0.4689616 ]	[0.28520508 0.86987809]
5	True	1.2459986209869385	139.81241032523903	0.001830791402657999	0.4685698360612831	`xtol` termination condition is satisfied.	[0.00183079 0.46856984]	[0.0157736  0.03533412]
9	True	1.166581153869629	139.8124129569035	0.0018308036192514379	0.46857492624070624	`xtol` termination condition is satisfied.	[0.0018308  0.46857493]	[0.00341212 0.0016648 ]
7	True	1.239607810974121	139.81242996146855	0.0018307267870246286	0.4685634021853439	`ftol` termination condition is satisfied.	[0.00183073 0.4685634 ]	[0.0023433  0.00107117]
2	True	1.2697093486785889	139.81243389309063	0.0018307025320916893	0.4685342754781534	`xtol` termination condition is satisfied.	[0.0018307  0.46853428]	[3.13118986e-01 2.19376019e-04]
0	True	1.2214772701263428	139.8125321553852	0.0018301664956989526	0.46846915143441287	`ftol` termination condition is satisfied.	[0.00183017 0.46846915]	[0.01112401 0.00083765]
6	True	1.5709023475646973	139.81254719043577	0.0018302356581521946	0.4684649016832648	`xtol` termination condition is satisfied.	[0.00183024 0.4684649 ]	[0.17225277 0.00633481]
4	True	1.3253231048583984	139.8229488578494	0.0018413867580326687	0.47042415225389594	`xtol` termination condition is satisfied.	[0.00184139 0.47042415]	[0.01948703 0.01130228]
